Year,Month,day,sunrise,sunset,time,height,time,height,time,height,time,height,coefficient,coefficientCategory
2018,4,1,8:02,19:22,5:59,2,10:54,8.2,18:12,2,23:12,8.2,100,very high
2018,4,D,19:22,,,,,,,,,,very high,
2018,4,,,,2,6:29,8.2,11:36,2,18:54,8.2,23:42,,
2018,4,,,8:04,,,,,,,,,,93
2018,4,2,8:04,19:20,6:29,1.6,11:36,8.6,18:54,2,23:42,8.2,93,very high
2018,4,L,19:20,,,,,,,,,,very high,
2018,4,,,,1.6,6:59,8.6,12:15,2,19:33,8.2,,,
2018,4,,,8:05,,,,,,,,,,83
2018,4,3,8:05,19:17,6:59,1.2,12:15,9,19:33,2,,,83,high
2018,4,M,19:17,,,,,,,,,,high,
2018,4,,,,1.2,0:11,9,7:29,2,12:52,,20:10,,
2018,4,,,8:07,,,,,,,,,,71
2018,4,4,8:07,19:15,0:11,8.2,7:29,0.8,12:52,9.5,20:10,2.4,71,high
2018,4,X,19:15,,,,,,,,,,high,
2018,4,,,,8.2,0:39,0.8,7:59,9.5,13:28,2.4,20:46,,
2018,4,,,8:09,,,,,,,,,,58
2018,4,5,8:09,19:13,0:39,7.7,7:59,0.8,13:28,9.5,20:46,2.8,58,medium
2018,4,J,19:13,,,,,,,,,,medium,
2018,4,,,,7.7,1:06,0.8,8:29,9.5,14:05,2.8,21:22,,
2018,4,,,8:11,,,,,,,,,,46
2018,4,6,8:11,19:10,1:06,7.3,8:29,1.2,14:05,9,21:22,3.2,46,low
2018,4,V,19:10,,,,,,,,,,low,
2018,4,,,,7.3,1:33,1.2,9:01,9,14:44,3.2,22:00,,
2018,4,,,8:12,,,,,,,,,,36
2018,4,7,8:12,19:08,1:33,6.9,9:01,1.2,14:44,8.6,22:00,3.6,36,low
2018,4,S,19:08,,,,,,,,,,low,
2018,4,,,,6.9,2:01,1.2,9:34,8.6,15:27,3.6,22:44,,
2018,4,,,8:14,,,,,,,,,,32
2018,4,8,8:14,19:06,2:01,6.5,9:34,1.6,15:27,8.2,22:44,4,32,low
2018,4,D,19:06,,,,,,,,,,low,
2018,4,,,,6.5,2:30,1.6,10:12,8.2,16:21,4,23:46,,
2018,4,,,8:16,,,,,,,,,,35
2018,4,9,8:16,19:04,2:30,6.5,10:12,2,16:21,7.3,23:46,4.4,35,low
2018,4,L,19:04,,,,,,,,,,low,
2018,4,,,,6.5,3:06,2,11:02,7.3,17:35,4.4,,,
2018,4,,,8:18,,,,,,,,,,45
2018,4,10,8:18,19:01,3:06,6,11:02,2.8,17:35,7.3,,,45,low
2018,4,M,19:01,,,,,,,,,,low,
2018,4,,,,6,1:29,2.8,4:14,7.3,12:19,,19:06,,
2018,4,,,8:19,,,,,,,,,,56
2018,4,11,8:19,18:59,1:29,4.8,4:14,5.6,12:19,3.2,19:06,6.9,56,medium
2018,4,X,18:59,,,,,,,,,,medium,
2018,4,,,,4.8,3:19,5.6,6:39,3.2,14:06,6.9,20:20,,
2018,4,,,8:21,,,,,,,,,,69
2018,4,12,8:21,18:57,3:19,4.4,6:39,5.2,14:06,3.2,20:20,7.3,69,medium
2018,4,J,18:57,,,,,,,,,,medium,
2018,4,,,,4.4,4:11,5.2,8:24,3.2,15:33,7.3,21:09,,
2018,4,,,8:23,,,,,,,,,,80
2018,4,13,8:23,18:55,4:11,4,8:24,6,15:33,3.2,21:09,7.3,80,high
2018,4,V,18:55,,,,,,,,,,high,
2018,4,,,,4,4:44,6,9:24,3.2,16:33,7.3,21:47,,
2018,4,,,8:24,,,,,,,,,,90
2018,4,14,8:24,18:52,4:44,3.2,9:24,6.5,16:33,2.8,21:47,7.7,90,very high
2018,4,S,18:52,,,,,,,,,,very high,
2018,4,,,,3.2,5:12,6.5,10:08,2.8,17:21,7.7,22:20,,
2018,4,,,8:26,,,,,,,,,,97
2018,4,15,8:26,18:50,5:12,2.8,10:08,7.3,17:21,2.4,22:20,7.7,97,very high
2018,4,D,18:50,,,,,,,,,,very high,
2018,4,,,,2.8,5:39,7.3,10:47,2.4,18:04,7.7,22:51,,
2018,4,,,8:28,,,,,,,,,,100
2018,4,16,8:28,18:48,5:39,2,10:47,8.2,18:04,2.4,22:51,7.7,100,very high
2018,4,L,18:48,,,,,,,,,,very high,
2018,4,,,,2,6:07,8.2,11:24,2.4,18:45,7.7,23:20,,
2018,4,,,8:30,,,,,,,,,,99
2018,4,17,8:30,18:46,6:07,1.6,11:24,9,18:45,2.4,23:20,7.7,99,very high
2018,4,M,18:46,,,,,,,,,,very high,
2018,4,,,,1.6,6:36,9,12:01,2.4,19:24,7.7,23:50,,
2018,4,,,8:31,,,,,,,,,,93
2018,4,18,8:31,18:44,6:36,1.2,12:01,9.5,19:24,2.4,23:50,7.7,93,very high
2018,4,X,18:44,,,,,,,,,,very high,
2018,4,,,,1.2,7:07,9.5,12:40,2.4,20:04,7.7,,,
2018,4,,,8:33,,,,,,,,,,83
2018,4,19,8:33,18:42,7:07,0.8,12:40,9.9,20:04,2.4,,,83,high
2018,4,J,18:42,,,,,,,,,,high,
2018,4,,,,0.8,0:20,9.9,7:39,2.4,13:21,,20:46,,
2018,4,,,8:35,,,,,,,,,,71
2018,4,20,8:35,18:40,0:20,7.3,7:39,0.4,13:21,9.9,20:46,2.8,71,high
2018,4,V,18:40,,,,,,,,,,high,
2018,4,,,,7.3,0:52,0.4,8:15,9.9,14:04,2.8,21:30,,
2018,4,,,8:36,,,,,,,,,,59
2018,4,21,8:36,18:37,0:52,7.3,8:15,0.4,14:04,9.9,21:30,3.2,59,medium
2018,4,S,18:37,,,,,,,,,,medium,
2018,4,,,,7.3,1:25,0.4,8:54,9.9,14:52,3.2,22:21,,
2018,4,,,8:38,,,,,,,,,,51
2018,4,22,8:38,18:35,1:25,6.9,8:54,0.4,14:52,9.5,22:21,3.6,51,medium
